[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Analysis started at: 2023-07-13 02:17:22 AM
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Processed function GetFreebie
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Generating return summary for withdraw
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Return summary generated for withdraw
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Range graph generated
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Processed function withdraw
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Generating return summary for Command
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Return summary generated for Command
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | State variable assignement do not exist
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Processed function Command
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Generating return summary for slitherConstructorVariables
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Return summary generated for slitherConstructorVariables
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Range graph generated
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Processed function slitherConstructorVariables
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Value Range Analysis took 0.000910 seconds
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Value Range Analysis finished
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Storage dependency graph compostion started!
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Storage dependency graph compostion finished!
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Dependency detection started!
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Dependency detection finished!
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Static Analysis took 0.276280 seconds
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Dependency does not exist
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Symbolic execution is not needed!
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Analysis finished!
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Analysis took 0.276469 seconds
[INFO] | 2023-07-13 02:17:22 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Analysis finished at: 2023-07-13 02:17:22 AM
