[INFO] | 2023-07-13 02:17:44 AM | analyzer.etheraffle | Analysis started at: 2023-07-13 02:17:44 AM
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Return summary generated for buyTickets
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Range graph generated
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Processed function buyTickets
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Generating return summary for fallback
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Return summary generated for fallback
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Range graph generated
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Processed function fallback
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Value Range Analysis took 0.005419 seconds
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Value Range Analysis finished
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Storage dependency graph compostion started!
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Storage dependency graph compostion finished!
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Dependency detection started!
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Dependency detection finished!
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Static Analysis took 0.811955 seconds
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Dependency does not exist
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Symbolic execution is not needed!
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Analysis finished!
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Analysis took 0.812103 seconds
[INFO] | 2023-07-13 02:17:45 AM | analyzer.etheraffle | Analysis finished at: 2023-07-13 02:17:45 AM
